address,domains,first_seen,hostname,ip_version,known,last_seen,name,online,risk_score
54.211.245.239,ec2-54-211-245-239.compute-1.amazonaws.com,2022-08-27T00:00:00.276022Z,ec2-54-211-245-239.compute-1.amazonaws.com,4,False,2022-08-27T00:00:00.276022Z,ec2-54-211-245-239.compute-1.amazonaws.com,True,16.320992316332834
199.167.115.232,"www.catosec.io,catosec.io",2022-08-29T00:00:00.347815Z,,4,True,2022-08-29T00:00:00.347815Z,catosec.io,True,0.1
52.200.148.181,ec2-52-200-148-181.compute-1.amazonaws.com,2022-09-01T00:00:00.186406Z,ec2-52-200-148-181.compute-1.amazonaws.com,4,False,2022-09-01T00:00:00.186406Z,ec2-52-200-148-181.compute-1.amazonaws.com,True,16.320992316332834
52.3.186.202,ec2-52-3-186-202.compute-1.amazonaws.com,2022-09-04T00:00:00.331372Z,ec2-52-3-186-202.compute-1.amazonaws.com,4,False,2022-09-04T00:00:00.331372Z,ec2-52-3-186-202.compute-1.amazonaws.com,True,16.320992316332834
3.213.40.215,ec2-3-213-40-215.compute-1.amazonaws.com,2022-09-08T00:00:00.596999Z,ec2-3-213-40-215.compute-1.amazonaws.com,4,False,2022-09-08T00:00:00.596999Z,ec2-3-213-40-215.compute-1.amazonaws.com,True,16.320992316332834
44.198.217.21,ec2-44-198-217-21.compute-1.amazonaws.com,2022-09-13T00:00:00.884964Z,ec2-44-198-217-21.compute-1.amazonaws.com,4,False,2022-09-13T00:00:00.884964Z,ec2-44-198-217-21.compute-1.amazonaws.com,True,16.320992316332834
34.196.136.141,ec2-34-196-136-141.compute-1.amazonaws.com,2022-09-15T00:00:00.358899Z,ec2-34-196-136-141.compute-1.amazonaws.com,4,False,2022-09-15T00:00:00.358899Z,ec2-34-196-136-141.compute-1.amazonaws.com,True,16.320992316332834
44.207.85.232,ec2-44-207-85-232.compute-1.amazonaws.com,2022-09-18T00:00:00.173149Z,ec2-44-207-85-232.compute-1.amazonaws.com,4,False,2022-09-18T00:00:00.173149Z,ec2-44-207-85-232.compute-1.amazonaws.com,True,16.320992316332834
34.238.22.176,ec2-34-238-22-176.compute-1.amazonaws.com,2022-09-20T00:00:00.543087Z,ec2-34-238-22-176.compute-1.amazonaws.com,4,False,2022-09-20T00:00:00.543087Z,ec2-34-238-22-176.compute-1.amazonaws.com,True,16.320992316332834
18.160.37.71,"server-18-160-37-71.iad55.r.cloudfront.net,documentation.catosec.io",2022-09-22T00:00:00.342760Z,server-18-160-37-71.iad55.r.cloudfront.net,4,False,2022-09-22T00:00:00.342760Z,documentation.catosec.io,True,9.792595389799699
23.22.22.188,"www.arctonyx.net,arctonyx.net,ec2-23-22-22-188.compute-1.amazonaws.com,ftp.arctonyx.net",2022-09-28T00:00:00.410818Z,ec2-23-22-22-188.compute-1.amazonaws.com,4,False,2022-10-27T00:00:00.953342Z,arctonyx.net,True,43.07035201073559
