first_seen,ip,last_seen,name,port_number,priority,remediation_action,remediation_id,status
2022-08-08T13:56:22.548893Z,45.33.49.119,2022-08-08T13:56:22.549870Z,nmap.org,80,CRITICAL,CVE-2022-23943 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-23943 for details.,CVE-2022-23943,NEWLY_DISCOVERED
2022-08-08T13:56:22.545548Z,45.33.49.119,2022-08-08T13:56:22.546586Z,nmap.org,80,MEDIUM,CVE-2022-28330 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-28330 for details.,CVE-2022-28330,NEWLY_DISCOVERED
2022-08-08T13:56:22.541976Z,45.33.49.119,2022-08-08T13:56:22.542869Z,nmap.org,80,HIGH,CVE-2022-26377 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-26377 for details.,CVE-2022-26377,NEWLY_DISCOVERED
2022-08-08T13:56:22.538605Z,45.33.49.119,2022-08-08T13:56:22.539650Z,nmap.org,80,MEDIUM,CVE-2022-28614 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-28614 for details.,CVE-2022-28614,NEWLY_DISCOVERED
2022-08-08T13:56:22.535178Z,45.33.49.119,2022-08-08T13:56:22.536181Z,nmap.org,80,CRITICAL,CVE-2022-28615 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-28615 for details.,CVE-2022-28615,NEWLY_DISCOVERED
2022-08-08T13:56:22.531916Z,45.33.49.119,2022-08-08T13:56:22.532859Z,nmap.org,80,HIGH,CVE-2022-29404 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-29404 for details.,CVE-2022-29404,NEWLY_DISCOVERED
2022-08-08T13:56:22.528486Z,45.33.49.119,2022-08-08T13:56:22.529610Z,nmap.org,80,HIGH,CVE-2022-30522 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-30522 for details.,CVE-2022-30522,NEWLY_DISCOVERED
2022-08-08T13:56:22.525418Z,45.33.49.119,2022-08-08T13:56:22.526324Z,nmap.org,80,HIGH,CVE-2022-30556 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-30556 for details.,CVE-2022-30556,NEWLY_DISCOVERED
2022-08-08T13:56:22.522471Z,45.33.49.119,2022-08-08T13:56:22.523349Z,nmap.org,80,CRITICAL,CVE-2022-31813 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-31813 for details.,CVE-2022-31813,NEWLY_DISCOVERED
2022-08-08T13:56:22.519351Z,45.33.49.119,2022-08-08T13:56:22.520375Z,nmap.org,80,MEDIUM,CVE-2019-0220 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2019-0220 for details.,CVE-2019-0220,NEWLY_DISCOVERED
2022-08-08T13:56:22.516292Z,45.33.49.119,2022-08-08T13:56:22.517185Z,nmap.org,80,MEDIUM,CVE-2020-1927 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2020-1927 for details.,CVE-2020-1927,NEWLY_DISCOVERED
2022-08-08T13:56:22.512969Z,45.33.49.119,2022-08-08T13:56:22.514050Z,nmap.org,80,CRITICAL,CVE-2022-22720 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-22720 for details.,CVE-2022-22720,NEWLY_DISCOVERED
2022-08-08T13:56:22.508841Z,45.33.49.119,2022-08-08T13:56:22.510299Z,nmap.org,80,CRITICAL,CVE-2022-22721 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-22721 for details.,CVE-2022-22721,NEWLY_DISCOVERED
